# Enemigos y donde estan sus recompensas dentro de DMW3Game/PRO/STFGTREP.PRO.
# Sale de la herramienta de JulioGawl, que trabajaba sobre el .bin del disco;
# aqui las posiciones estan traducidas a fichero suelto (2048 utiles por sector).
nombre	posicion	dvexp	exp	bits
Pharaohmon	15844	12	120	240
Master Tyrannomon	15856	14	140	280
Seiryu Leader	15868	11	176	475
Suzaku Leader	15880	14	216	675
Tamer	15892	27	268	645
Tamer	15904	29	435	870
HiAndromon	15916	32	325	500
WaruMonzaemon	15928	32	320	740
Datamon	15940	34	340	1000
Game Master	15952	35	718	1490
Zanbamon	15964	40	380	800
Bulbmon	15976	43	440	800
BK MegaGargomon	15988	45	450	900
Tamer	16000	41	627	1220
BK Imperialdramon	16012	46	460	930
Tamer	16024	43	649	1335
BK Seraphimon	16036	47	470	960
Tamer	16048	46	705	1430
Tamer	16060	46	703	1410
Tamer	16072	47	715	1420
Tamer	16084	48	719	1395
Tamer	16096	49	737	1470
BK WarGrowlmon	16108	55	550	1100
BK King Numemon	16120	57	570	1300
Tamer	16132	50	757	1450
Tamer	16144	52	788	1560
Tamer	16156	52	783	1515
Tamer	16168	53	795	1580
Tamer	16180	56	842	1655
Knightmon	16192	99	990	1980
BK WarGreymon	16204	53	530	1060
BK WarGreymon?	18208	53	530	1060
Tamer	16216	57	1224	2515
Tamer	16228	57	1700	3000
Kunemon	16240	1	6	10
Tapirmon	16252	1	5	20
Crabmon	16264	3	17	30
Gizamon	16276	4	19	40
DemiDevimon	16288	8	39	80
Betamon	16300	2	10	25
Vegiemon	16312	4	20	40
Kuwagamon	16324	2	11	20
Yanmamon	16336	3	16	30
Kiwimon	16348	3	15	35
Dokugumon	16360	4	21	40
Goburimon	16372	4	22	45
Baronmon	16384	16	80	160
Minotarumon	16396	5	27	55
Flymon	16408	13	66	130
Woodmon	16420	5	25	50
Tyrannomon	16432	6	31	60
Triceramon	16444	6	30	60
Airdramon	16456	6	29	70
Gekomon	16468	8	41	85
Coelamon	16480	8	40	80
Bakemon	16492	9	46	90
Phantomon	16504	31	154	310
Kokatorimon	16516	13	96	160
Apemon	16528	10	50	190
Shellmon	16540	18	91	180
Tortomon	16552	29	145	290
